output,Name,label,hit_count,x,y
1,['starfish'],[7],1,1.0,0.0
3,"['crayfish', 'flea', 'gnat', 'honeybee', 'housefly', 'ladybird', 'lobster', 'moth', 'octopus', 'scorpion', 'termite', 'wasp']","[7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 6, 6]",12,0.0,0.0
4,"['newt', 'tortoise', 'tuatara']","[5, 3, 3]",3,2.0,1.0
8,['platypus'],[1],1,2.0,2.0
9,"['crab', 'frog', 'frog', 'toad']","[7, 5, 5, 5]",4,2.0,0.0
18,"['aardvark', 'bear', 'boar', 'cheetah', 'leopard', 'lion', 'lynx', 'mink', 'mole', 'mongoose', 'opossum', 'polecat', 'puma', 'pussycat', 'raccoon', 'wolf']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,0.0,4.0
21,"['chicken', 'crow', 'dove', 'duck', 'gull', 'hawk', 'lark', 'parakeet', 'pheasant', 'skimmer', 'skua', 'sparrow', 'wren']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",13,5.0,0.0
23,"['antelope', 'buffalo', 'calf', 'cavy', 'deer', 'elephant', 'giraffe', 'goat', 'hamster', 'hare', 'oryx', 'pony', 'reindeer', 'vole']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,0.0,5.0
26,"['flamingo', 'kiwi', 'ostrich', 'penguin', 'rhea', 'swan', 'vulture']","[2, 2, 2, 2, 2, 2, 2]",7,6.0,0.0
32,"['pitviper', 'slowworm']","[3, 3]",2,9.0,1.0
44,"['clam', 'seawasp', 'slug', 'worm']","[7, 7, 7, 7]",4,10.0,0.0
52,['wallaby'],[1],1,3.0,5.0
55,"['fruitbat', 'squirrel', 'vampire']","[1, 1, 1]",3,4.0,4.0
57,"['girl', 'gorilla']","[1, 1]",2,5.0,5.0
58,['seasnake'],[3],1,12.0,1.0
62,"['dolphin', 'porpoise', 'seal']","[1, 1, 1]",3,9.0,5.0
65,"['bass', 'catfish', 'chub', 'herring', 'piranha']","[4, 4, 4, 4, 4]",5,13.0,1.0
73,"['carp', 'haddock', 'seahorse', 'sole']","[4, 4, 4, 4]",4,14.0,1.0
80,['sealion'],[1],1,6.0,5.0
83,"['dogfish', 'pike', 'stingray', 'tuna']","[4, 4, 4, 4]",4,13.0,5.0
