node_names,node_coords
root;0;4;8;11;18;29;33;67,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1)"
root;0;4;8;11;18;29;33;68,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(7,0)"
root;0;4;8;11;18;29;34;58,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(6,2);(7,2)"
root;0;4;8;11;18;29;34;59,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(6,2);(6,3)"
root;0;4;8;11;18;29;35,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(6,0)"
root;0;4;8;11;18;30,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,2)"
root;0;4;8;11;18;31;36;55,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(4,-1)"
root;0;4;8;11;18;31;36;56,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(6,-1)"
root;0;4;8;11;18;31;36;57;74,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(4,-2)"
root;0;4;8;11;18;31;36;57;75;161,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(6,-2);(7,-2)"
root;0;4;8;11;18;31;36;57;76;96,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(4,-3)"
root;0;4;8;11;18;31;36;57;76;97;162,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(6,-3);(7,-3)"
root;0;4;8;11;18;31;36;57;76;98;144,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(4,-4)"
root;0;4;8;11;18;31;36;57;76;98;145;179,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(6,-4);(7,-4)"
root;0;4;8;11;18;31;36;57;76;98;145;180,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(6,-4);(6,-5)"
root;0;4;8;11;18;31;36;57;76;98;146,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(5,-5)"
root;0;4;8;11;19;63;129;189,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(4,3);(5,3);(5,4)"
