name,node_idx,x,y,feature_importance,label
0,257,-5.0,-4.0,"[0.0060156276854161405, 0.0002575239785854342, 0.008215417014060552, 0.006482271185069944, 0.0008164260554000014, 0.01916346323595456, 0.03746561364143539, 0.0036879899757736156, 0.0014722632784652879, 0.0007290887244720705, 0.0013046833629060707, 1.7546164371118485e-06, 0.0017579537119981827, 0.8674027525696872, 0.020181283966571827, 0.025045886997766553]",1
1,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
2,258,12.0,9.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",4
3,257,-5.0,-4.0,"[0.0060156276854161405, 0.0002575239785854342, 0.008215417014060552, 0.006482271185069944, 0.0008164260554000014, 0.01916346323595456, 0.03746561364143539, 0.0036879899757736156, 0.0014722632784652879, 0.0007290887244720705, 0.0013046833629060707, 1.7546164371118485e-06, 0.0017579537119981827, 0.8674027525696872, 0.020181283966571827, 0.025045886997766553]",1
4,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
5,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
6,164,-9.0,2.0,"[0.002094948839099726, 0.00010260874494917281, 0.0027467853918916765, 0.0022504331426101143, 0.00029217882635182256, 0.003521333710029881, 0.06825982488405859, 0.0011546713826087308, 0.0004751526110099917, 0.00021981190092133025, 0.00045324883591912353, 7.390209797694847e-07, 0.000562974985172586, 0.059422912380297774, 0.6202156690167976, 0.23822670632730206]",1
7,311,11.0,14.0,"[0.0001052675217796751, 5.394944842712804e-06, 0.00036475789085789424, 0.0004021387860941516, 5.549316990391948e-06, 0.0, 0.0, 0.0, 0.0, 0.00027264780224138416, 0.0004567290085671287, 0.0, 2.0752840736965313e-06, 1.8030993935309943e-05, 0.9983674084506176, 0.0]",4
8,258,12.0,9.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",4
9,163,-10.0,1.0,"[0.0007607228185157384, 3.7258841366758255e-05, 0.0009974272672929549, 0.0008171829909153731, 0.00010609616043215489, 0.0012787000847393703, 0.024788192570196432, 0.0004192954952101143, 0.00017254032137478933, 7.982038941525677e-05, 0.00016458482407957653, 2.683463832057358e-07, 0.00020443088632425717, 0.4190078650255605, 0.28367863963423284, 0.26748697434396057]",1
