node1,node2,overlap_count
0,49,2
49,106,1
106,642,1
49,107,1
0,50,1
50,297,1
1,4,2
4,60,1
4,61,1
61,121,1
121,137,1
1,5,1
2,6,242
6,10,1
6,11,241
11,12,146
12,22,146
22,31,144
31,45,137
45,56,135
56,62,97
62,68,19
68,95,18
95,130,17
130,154,16
154,201,13
201,238,12
238,273,11
273,355,9
355,424,7
424,502,5
502,589,3
589,668,1
589,670,1
502,590,1
502,591,1
424,503,1
424,504,1
355,425,1
355,426,1
273,356,1
273,357,1
238,274,1
201,239,1
154,202,3
202,278,3
278,310,1
278,311,1
278,312,1
130,155,1
95,131,1
68,96,1
62,69,1
62,70,77
70,83,75
83,108,74
108,128,64
128,132,63
132,173,1
132,174,62
174,178,4
178,185,3
185,232,1
185,233,1
185,234,1
178,186,1
174,179,58
179,192,1
179,193,57
193,227,55
227,246,16
246,258,16
258,292,15
292,319,13
319,379,11
379,400,9
400,440,6
440,566,1
440,567,5
567,673,4
673,768,3
768,858,1
768,859,1
673,769,1
567,674,1
400,441,2
441,528,1
441,529,1
400,442,1
379,401,1
379,402,1
319,380,1
319,381,1
292,320,1
292,321,1
258,293,1
227,247,39
247,253,13
253,279,12
279,347,12
347,391,11
391,422,1
391,423,10
423,451,2
451,588,2
588,671,1
423,452,8
452,512,6
512,580,1
512,581,5
581,660,4
660,713,3
713,783,1
713,784,1
660,714,1
581,661,1
452,513,1
452,514,1
347,392,1
253,280,1
247,254,26
254,285,1
254,286,25
286,313,1
286,314,1
286,315,23
315,352,1
315,353,1
315,354,21
354,376,12
376,410,1
376,411,11
411,443,10
443,462,1
443,463,9
463,539,1
463,540,8
540,626,6
626,686,1
687,727,4
727,802,3
802,831,1
802,832,1
802,833,1
727,803,1
540,627,1
540,628,1
411,444,1
354,377,1
354,378,8
378,453,4
453,523,1
453,524,3
524,602,1
524,603,2
603,662,2
662,718,2
718,773,1
718,774,1
378,454,4
454,583,4
583,646,4
646,692,1
646,693,3
693,746,2
746,798,1
746,799,1
193,228,1
193,229,1
128,133,1
108,129,10
129,136,10
136,345,1
136,346,9
346,435,1
346,436,8
436,525,1
436,526,1
