node_names,node_coords
root;0;4;19;33;48;143;327,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1)"
root;0;4;19;33;48;143;328,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(6,0)"
root;0;4;19;33;48;144,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(5,0)"
root;0;4;19;33;49;65;78,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(6,2)"
root;0;4;19;33;49;65;79;84;186;244;300,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(5,3);(6,3);(7,3);(8,3);(9,3)"
root;0;4;19;33;49;65;79;84;186;244;301,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(5,3);(6,3);(7,3);(8,3);(8,2)"
root;0;4;19;33;49;65;79;84;186;245,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(5,3);(6,3);(7,3);(7,2)"
root;0;4;19;33;49;65;79;84;187,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(5,3);(6,3);(6,4)"
root;0;4;19;33;49;65;79;85,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(5,2);(5,3);(5,4)"
root;0;4;19;33;49;66,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,2);(4,3)"
root;0;4;19;33;50,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(4,0)"
root;0;4;19;34,"(0.01,0.01);(1,1);(2,1);(3,1);(3,2)"
root;0;4;20;27,"(0.01,0.01);(1,1);(2,1);(2,0);(3,0)"
root;0;4;20;28;59;88;116,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(3,-1);(4,-1);(5,-1)"
root;0;4;20;28;60;63;86;117;168;215,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(5,-2);(6,-2);(7,-2)"
root;0;4;20;28;60;63;86;117;168;216,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(5,-2);(6,-2);(6,-1)"
root;0;4;20;28;60;63;86;117;169;203,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(5,-2);(5,-3);(6,-3)"
root;0;4;20;28;60;63;86;117;169;204;259,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(5,-2);(5,-3);(5,-4);(6,-4)"
root;0;4;20;28;60;63;86;117;169;204;260,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(5,-2);(5,-3);(5,-4);(5,-5)"
root;0;4;20;28;60;63;86;118,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(4,-2);(4,-3)"
root;0;4;20;28;60;63;87;119;173,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(3,-3);(3,-4);(2,-4)"
root;0;4;20;28;60;63;87;119;174,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(3,-3);(3,-4);(4,-4)"
root;0;4;20;28;60;63;87;119;175,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(3,-2);(3,-3);(3,-4);(3,-5)"
root;0;4;20;28;60;64,"(0.01,0.01);(1,1);(2,1);(2,0);(2,-1);(2,-2);(2,-3)"
root;0;5;6,"(0.01,0.01);(1,1);(1,2);(0,2)"
root;0;5;7,"(0.01,0.01);(1,1);(1,2);(2,2)"
root;0;5;8;11;39;69,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-2,3)"
root;0;5;8;11;39;70;112;161,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-1,4);(-2,4);(-3,4)"
root;0;5;8;11;39;70;112;162,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-1,4);(-2,4);(-2,5)"
root;0;5;8;11;39;70;113;243;266;333,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-1,4);(-1,5);(-1,6);(-2,6);(-3,6)"
root;0;5;8;11;39;70;113;243;266;334,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-1,4);(-1,5);(-1,6);(-2,6);(-2,7)"
root;0;5;8;11;39;70;113;243;267,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(-1,3);(-1,4);(-1,5);(-1,6);(-1,7)"
root;0;5;8;11;40;80;114,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(0,4);(0,5);(1,5)"
root;0;5;8;11;40;80;115,"(0.01,0.01);(1,1);(1,2);(1,3);(0,3);(0,4);(0,5);(0,6)"
root;0;5;8;12;14,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(3,3)"
root;0;5;8;12;15;21;31,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(4,4)"
root;0;5;8;12;15;21;32;43,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(4,5)"
root;0;5;8;12;15;21;32;44;45,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(2,6)"
root;0;5;8;12;15;21;32;44;46;54;75;81;109,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(8,6)"
root;0;5;8;12;15;21;32;44;46;54;75;81;110;159,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,7);(8,7)"
root;0;5;8;12;15;21;32;44;46;54;75;81;110;160,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,7);(7,8)"
root;0;5;8;12;15;21;32;44;46;54;75;81;111;201;246;315,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,5);(8,5);(9,5);(10,5)"
root;0;5;8;12;15;21;32;44;46;54;75;81;111;201;246;316,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,5);(8,5);(9,5);(9,6)"
root;0;5;8;12;15;21;32;44;46;54;75;81;111;201;247;285,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,5);(8,5);(8,4);(9,4)"
root;0;5;8;12;15;21;32;44;46;54;75;81;111;202,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(7,6);(7,5);(7,4)"
