output,Name,label,hit_count,x,y,label_summary,cluster
3,"['honeybee', 'housefly', 'moth', 'wasp']","[6, 6, 6, 6]",4,0.0,0.0,6: 4 (100.0%),5
15,"['chicken', 'dove', 'parakeet']","[2, 2, 2]",3,5.0,0.0,2: 3 (100.0%),6
21,"['flea', 'gnat', 'ladybird', 'termite']","[6, 6, 6, 6]",4,-1.0,1.0,6: 4 (100.0%),5
22,"['gull', 'skimmer', 'skua']","[2, 2, 2]",3,6.0,0.0,2: 3 (100.0%),6
23,"['kiwi', 'penguin', 'rhea']","[2, 2, 2]",3,5.0,1.0,2: 3 (100.0%),6
24,"['crow', 'hawk']","[2, 2]",2,5.0,-1.0,2: 2 (100.0%),6
30,['tortoise'],[3],1,2.0,2.0,3: 1 (100.0%),5
32,"['lark', 'pheasant', 'sparrow', 'wren']","[2, 2, 2, 2]",4,6.0,1.0,2: 4 (100.0%),6
33,['duck'],[2],1,5.0,2.0,2: 1 (100.0%),6
44,"['frog', 'frog', 'newt', 'toad', 'tuatara']","[5, 5, 5, 5, 3]",5,-5.0,0.0,5: 4 (80.0%); 3: 1 (20.0%),1
46,['platypus'],[1],1,-4.0,-1.0,1: 1 (100.0%),1
48,['vulture'],[2],1,6.0,3.0,2: 1 (100.0%),6
51,"['calf', 'cavy', 'goat', 'hamster', 'hare', 'pony', 'reindeer', 'vole']","[1, 1, 1, 1, 1, 1, 1, 1]",8,-5.0,-1.0,1: 8 (100.0%),1
53,['crab'],[7],1,0.0,4.0,7: 1 (100.0%),5
70,"['mole', 'opossum']","[1, 1]",2,-6.0,-1.0,1: 2 (100.0%),1
75,['sealion'],[1],1,-4.0,-4.0,1: 1 (100.0%),3
82,"['bass', 'carp', 'catfish', 'chub', 'haddock', 'herring', 'piranha', 'seahorse', 'sole']","[4, 4, 4, 4, 4, 4, 4, 4, 4]",9,0.0,-4.0,4: 9 (100.0%),2
87,"['octopus', 'scorpion']","[7, 7]",2,-1.0,-4.0,7: 2 (100.0%),2
89,"['crayfish', 'lobster', 'starfish']","[7, 7, 7]",3,0.0,-5.0,7: 3 (100.0%),2
93,"['dogfish', 'dolphin', 'pike', 'porpoise', 'seal', 'stingray', 'tuna']","[4, 1, 4, 1, 1, 4, 4]",7,-1.0,-5.0,4: 4 (57.1%); 1: 3 (42.9%),2
94,"['boar', 'cheetah', 'leopard', 'lion', 'lynx', 'mink', 'mongoose', 'polecat', 'puma', 'raccoon', 'wolf']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,-5.0,1.0,1: 11 (100.0%),1
98,"['slug', 'worm']","[7, 7]",2,-1.0,8.0,7: 2 (100.0%),4
105,"['girl', 'gorilla']","[1, 1]",2,-6.0,-5.0,1: 2 (100.0%),3
107,"['fruitbat', 'squirrel', 'vampire', 'wallaby']","[1, 1, 1, 1]",4,-5.0,-6.0,1: 4 (100.0%),3
110,"['antelope', 'buffalo', 'deer', 'elephant', 'giraffe', 'oryx']","[1, 1, 1, 1, 1, 1]",6,-6.0,0.0,1: 6 (100.0%),1
115,['ostrich'],[2],1,4.0,6.0,2: 1 (100.0%),7
119,"['aardvark', 'bear', 'pussycat']","[1, 1, 1]",3,-7.0,0.0,1: 3 (100.0%),1
129,['seasnake'],[3],1,2.0,11.0,3: 1 (100.0%),4
131,"['flamingo', 'swan']","[2, 2]",2,5.0,5.0,2: 2 (100.0%),7
134,['clam'],[7],1,-2.0,10.0,7: 1 (100.0%),4
135,['seawasp'],[7],1,-1.0,11.0,7: 1 (100.0%),4
139,['pitviper'],[3],1,4.0,11.0,3: 1 (100.0%),4
150,['slowworm'],[3],1,11.0,6.0,3: 1 (100.0%),7
