output,Id,Species,hit_count,x,y,cluster
0,"['24', '88']","[6, 6]",2,1.0,1.0,1
3,"['30', '39', '40', '42', '51', '53', '72', '97']","[6, 6, 6, 6, 6, 7, 7, 6]",8,0.0,0.0,1
19,"['1', '5', '6', '17', '22', '28', '31', '55', '65', '70']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.0,-2.0,2
22,"['33', '58', '78', '79']","[2, 2, 2, 2]",4,6.0,0.0,3
34,"['11', '20', '57']","[2, 2, 2]",3,6.0,1.0,3
39,"['43', '59', '83', '100']","[2, 2, 2, 2]",4,7.0,0.0,3
40,"['23', '56']","[2, 2]",2,6.0,-1.0,3
41,"['35', '36', '49', '54', '94']","[1, 1, 1, 1, 1]",5,0.0,-3.0,2
45,"['63', '90']","[1, 3]",2,0.0,3.0,2
46,"['16', '37', '41', '71', '95']","[2, 2, 2, 2, 2]",5,7.0,1.0,3
58,"['25', '26', '89']","[5, 5, 5]",3,0.0,4.0,2
66,"['15', '46', '85']","[7, 7, 7]",3,0.0,5.0,1
71,"['52', '91']","[5, 3]",2,1.0,5.0,2
77,"['29', '32']","[1, 1]",2,-7.0,0.0,4
83,"['27', '93']","[1, 1]",2,-8.0,0.0,4
115,"['21', '87']","[2, 2]",2,8.0,1.0,3
131,"['34', '73', '82']","[4, 4, 4]",3,5.0,7.0,5
133,"['0', '3', '4', '10', '44', '45', '47', '48', '50', '64', '67', '69', '98']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,0.0,-4.0,2
145,"['81', '99']","[7, 7]",2,0.0,-6.0,7
155,"['62', '80']","[3, 3]",2,6.0,7.0,5
170,"['18', '60', '92']","[4, 4, 4]",3,1.0,13.0,5
204,"['19', '66']","[1, 1]",2,-5.0,7.0,6
228,"['2', '8', '12', '38', '61']","[4, 4, 4, 4, 4]",5,11.0,8.0,5
