output,Id,Species,hit_count,x,y
1,['GSM119633'],"[""Alzheimer's Disease""]",1,1.0,0.0
6,"['GSM119657', 'GSM238792', 'GSM238794', 'GSM238798', 'GSM238816', 'GSM238851', 'GSM238856', 'GSM238871', 'GSM238872', 'GSM238873', 'GSM238945']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control']",11,2.0,1.0
7,"['GSM119653', 'GSM119678', 'GSM238801', 'GSM238821', 'GSM238845', 'GSM238846', 'GSM238847', 'GSM238854', 'GSM238863', 'GSM238864', 'GSM238865', 'GSM238870', 'GSM238875', 'GSM238877', 'GSM238942']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control']",15,1.0,2.0
8,"['GSM238809', 'GSM238815']","['Control', 'Control']",2,2.0,0.0
14,"['GSM119666', 'GSM238803', 'GSM238813', 'GSM238834', 'GSM238839', 'GSM238840', 'GSM238844', 'GSM238860', 'GSM238874', 'GSM238946', 'GSM238952']","[""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control']",11,2.0,2.0
15,"['GSM119617', 'GSM119618', 'GSM119621', 'GSM119626', 'GSM119630', 'GSM119634', 'GSM119645', 'GSM119676', 'GSM119680', 'GSM119681', 'GSM119687', 'GSM238763', 'GSM238791', 'GSM238793', 'GSM238796', 'GSM238797', 'GSM238808', 'GSM238810', 'GSM238819', 'GSM238822', 'GSM238823', 'GSM238824', 'GSM238825', 'GSM238826', 'GSM238827', 'GSM238837', 'GSM238848', 'GSM238855', 'GSM238858', 'GSM238861', 'GSM238862', 'GSM238867', 'GSM238941', 'GSM238943', 'GSM238944', 'GSM238947', 'GSM238948', 'GSM238949', 'GSM238955', 'GSM238963']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control']",40,1.0,3.0
16,"['GSM119620', 'GSM119629', 'GSM119651', 'GSM119669', 'GSM238800', 'GSM238802', 'GSM238804', 'GSM238805', 'GSM238806', 'GSM238807', 'GSM238835', 'GSM238838', 'GSM238841', 'GSM238842', 'GSM238868']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control', 'Control']",15,0.0,-2.0
17,"['GSM119658', 'GSM119664', 'GSM119668', 'GSM238795', 'GSM238811', 'GSM238812', 'GSM238817', 'GSM238820', 'GSM238843']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control', 'Control']",9,0.0,3.0
18,"['GSM119615', 'GSM119619', 'GSM119625', 'GSM119628', 'GSM119631', 'GSM119632', 'GSM119635', 'GSM119636', 'GSM119637', 'GSM119640', 'GSM119647', 'GSM119649', 'GSM119650', 'GSM119654', 'GSM119655', 'GSM119656', 'GSM119659', 'GSM119660', 'GSM119661', 'GSM119662', 'GSM119663', 'GSM119665', 'GSM119667', 'GSM119670', 'GSM119671', 'GSM119672', 'GSM119673', 'GSM119674', 'GSM119675', 'GSM119677', 'GSM119679', 'GSM119682', 'GSM119683', 'GSM119684', 'GSM119685', 'GSM119686', 'GSM119688', 'GSM238790', 'GSM238799', 'GSM238818', 'GSM238857', 'GSM238951', 'GSM238953']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", 'Control', 'Control', 'Control', 'Control']",43,2.0,3.0
19,"['GSM119616', 'GSM119622', 'GSM119623', 'GSM119624', 'GSM119627', 'GSM119638', 'GSM119639', 'GSM119641', 'GSM119642', 'GSM119643', 'GSM119644', 'GSM119646', 'GSM119648', 'GSM119652']","[""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease"", ""Alzheimer's Disease""]",14,1.0,4.0
