output,Sample_ID,Disease_State,hit_count,x,y
0,"['GSM119666', 'GSM238803', 'GSM238805', 'GSM238806', 'GSM238813', 'GSM238834', 'GSM238838', 'GSM238839', 'GSM238840', 'GSM238844', 'GSM238874', 'GSM238946', 'GSM238952']","['normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",13,1.0,1.0
1,"['GSM119620', 'GSM119629', 'GSM119651', 'GSM238800', 'GSM238802']","['normal\xa0', 'normal\xa0', 'normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",5,1.0,0.0
4,"['GSM238794', 'GSM238815', 'GSM238851', 'GSM238862', 'GSM238867', 'GSM238871']","[""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",6,-1.0,1.0
5,"['GSM119617', 'GSM119618', 'GSM119621', 'GSM119626', 'GSM119630', 'GSM119634', 'GSM119645', 'GSM119680', 'GSM119681', 'GSM119687', 'GSM238763', 'GSM238791', 'GSM238793', 'GSM238796', 'GSM238797', 'GSM238808', 'GSM238810', 'GSM238819', 'GSM238822', 'GSM238823', 'GSM238824', 'GSM238825', 'GSM238826', 'GSM238827', 'GSM238837', 'GSM238848', 'GSM238855', 'GSM238858', 'GSM238861', 'GSM238941', 'GSM238943', 'GSM238944', 'GSM238947', 'GSM238948', 'GSM238949', 'GSM238955', 'GSM238963']","['normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",37,0.0,2.0
7,['GSM119676'],['normal\xa0'],1,1.0,2.0
8,"['GSM119657', 'GSM238792', 'GSM238798', 'GSM238809', 'GSM238816', 'GSM238856', 'GSM238860', 'GSM238945']","['normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",8,2.0,0.0
9,"['GSM238795', 'GSM238872', 'GSM238873']","[""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",3,1.0,-1.0
11,"['GSM119668', 'GSM119669', 'GSM238807', 'GSM238812', 'GSM238841', 'GSM238842', 'GSM238868']","['normal\xa0', 'normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",7,0.0,-1.0
13,"['GSM119622', 'GSM119623', 'GSM119633', 'GSM119639', 'GSM119642']","['normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0', 'normal\xa0']",5,0.0,-2.0
14,"['GSM119658', 'GSM119664', 'GSM238801', 'GSM238804', 'GSM238811', 'GSM238817', 'GSM238820', 'GSM238821', 'GSM238835', 'GSM238843', 'GSM238847', 'GSM238854', 'GSM238863', 'GSM238865', 'GSM238870', 'GSM238942']","['normal\xa0', 'normal\xa0', ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0"", ""Alzheimer's Disease\xa0""]",16,-1.0,-2.0
