Gene_ID,Node_ID,Is_AD_Biomarker,Cluster_k10
ND3,2662,0,10
DAND5,2875,0,3
ELOVL5,2887,0,3
CALB1,992,0,3
DDX59,518,0,3
ZFR2,2698,0,3
RPS23P6,2980,0,3
IFNA2,2980,0,3
FAM122B,2912,0,3
KIAA1598,1993,0,3
SERPINA9,2897,0,3
FDPS,1546,0,3
TMEM35,776,0,3
RIT2,2983,0,3
NDUFV2,2949,0,3
PPP1R21,1021,0,3
ARL15,2961,0,3
BPGM,2937,0,3
SLC38A1,2718,0,3
LINC00343,2945,0,3
SPTAN1,193,0,3
2-Sep,1796,0,3
RP11-589P10.5,2254,0,3
SLC35E2,125,0,3
SHROOM2,939,0,3
ZNF365,2523,0,3
KCNS1,2955,0,3
TNRC6A,1509,0,3
SYT13,614,0,3
ENHO,2664,0,3
NRG3,955,0,3
AAK1,189,0,3
ZSCAN29,2420,0,3
FOXJ3,1248,0,3
KLF4,2631,0,3
C1orf52,785,0,3
KIF5C,2299,0,2
NME1-NME2,2904,0,3
TAC1,389,0,3
TM2D2,1246,0,3
ADNP,1349,0,3
ZFP36,2860,0,3
SLITRK5,1060,0,3
CHD4,2289,0,3
LOC399491,2372,0,1
PITPNM3,1630,0,3
SAC3D1,2481,0,3
C2orf81,2943,0,3
C3orf70,2806,0,3
MRPS28,2937,0,3
BGN,2675,0,3
PNMA1,2840,0,2
ZNF16,2937,0,3
SUGP2,1490,0,3
BRMS1L,2192,0,3
KCTD6,27,0,3
LOC730961,2944,0,3
ERC2-IT1,2845,0,3
TTTY9A,2785,0,3
AIF1L,2664,0,3
RNF4,1237,0,3
MKNK2,2212,0,3
BCAT1,1544,0,3
RABAC1,2239,0,3
KDM2A,2110,0,3
RP4-593H12.1,2785,0,3
LMBRD1,774,0,3
SKP1,2826,0,5
PIP4K2C,2166,0,3
GSTM5,418,0,3
UNG,2939,0,3
HSPBP1,1142,0,3
LPP,2580,0,3
THAP4,584,0,3
FAM198B,2887,0,3
TMSB4X,2603,0,5
TCEAL4,2575,0,2
FAM32A,763,0,3
SLC44A1,2989,0,3
SRP19,2171,0,3
POLR2H,2378,0,3
CHRDL1,2705,0,3
AP3M2,2351,0,3
FTH1,2299,0,2
ATXN1L,1913,0,3
ADAMTS1,2631,0,3
EMX2,2887,0,3
SUN1,1350,0,3
PSMB6,2617,0,3
USP9Y,2573,0,3
CMPK1,1213,0,3
TCF4,2366,0,2
ADCY1,1500,0,3
SNX15,2936,0,3
SLU7,2474,0,3
DCTPP1,2120,0,3
TRMT10C,2192,0,3
PIN1,609,0,3
EXOC1,2967,0,3
RAPH1,2997,0,3
MRPS24,2428,0,3
PSMA2,2790,0,3
IAH1,1196,0,3
CTC-203F4.2,2874,0,3
ITM2A,2940,0,3
MOAP1,2840,0,2
DOCK4,461,0,3
CRELD2,2872,0,3
AVPI1,2466,0,3
UBE2O,2937,0,3
APOE,2887,0,3
TGFBI,1681,0,3
APBA2,166,0,3
MROH7-TTC4,2473,0,3
LIF,2945,0,3
ZNF2,2943,0,3
GAD1,2124,0,3
PSMD2,2577,0,3
DENND5A,1879,0,3
MFF,1096,0,3
KCNK12,720,0,3
PRSS3,705,0,3
UGT8,2284,0,3
HARBI1,2944,0,3
MDH2,1698,0,3
C5orf66,2930,0,3
RUNDC3B,2992,0,3
FAM208A,2713,0,3
G3BP2,2086,0,3
CCSAP,1085,0,3
GRIK5,2177,0,3
LUC7L3,2366,0,2
RP11-389G6.3,869,0,3
OXR1,1719,0,3
PLOD3,676,0,3
ANGEL2,1134,0,3
C11orf49,2384,0,3
CNDP2,2919,0,3
PITHD1,64,0,3
DBNDD1,2937,0,3
ITGB5,2814,0,3
HSPA5,2614,0,3
LOC101928304,2785,0,3
ATIC,2277,0,3
ISG15,1924,0,3
PCMT1,2864,0,2
RPL7L1,2197,0,3
YWHAE,266,0,3
CNTN4,2322,0,3
SLC12A7,2989,0,3
LOC642852,2624,0,3
GPR37L1,2633,0,3
KIAA0485,2288,0,3
LINC00865,954,0,3
STOM,2887,0,3
PARK7,2799,0,6
TMEM30A,2075,0,3
DCAF4L1,2980,0,3
SEC24B,1255,0,3
RBM39,1576,0,3
NR1D2,1453,0,3
EIF4G2,2918,0,3
NMRAL1,1512,0,3
TMEM129,2040,0,3
GTF2B,2995,0,3
RP11-753A21.2,2785,0,3
SRCIN1,2957,0,3
ACTR10,2159,0,3
LOC101930541,2980,0,3
POM121L8P,2944,0,3
FMR1,2844,0,3
EEF2,2234,0,2
CLK1,1407,0,3
LMO4,2014,0,3
ATP6,2662,0,10
EFS,2765,0,3
C20orf194,1483,0,3
SET,2236,0,3
MT1G,2889,0,3
TMEM230,2791,0,3
RAPGEF6,1350,0,3
CYTH3,1644,0,3
LOC100506272,2980,0,3
LOC728084,2945,0,3
ZDHHC7,2978,0,3
CTTN,1384,0,3
SOBP,2638,0,3
SPZ1,2980,0,3
EIF5B,2109,0,3
TSPAN7,2707,0,2
STAC2,1079,0,3
LOC80154,2765,0,3
PNMA6A,1843,0,3
POLR2G,2900,0,3
CORO1C,1497,0,3
PABPC3,2191,0,2
SART1,1378,0,3
CLIP3,1727,0,3
BNIP3,90,0,3
CTIF,454,0,3
RSL24D1,2474,0,3
STX5,2783,0,3
RP6-11O7.2,2446,0,3
KLC1,2331,0,3
TF,2019,0,3
NCOA4,2355,0,2
SNPH,1551,0,3
LOC102725188,2208,0,3
RNF114,1732,0,3
ATP2C1,2013,0,3
TJP1,1855,0,3
PDHX,1902,0,3
RWDD4,2900,0,3
SFT2D2,1760,0,3
PABPC1,2102,0,3
NRSN2,1142,0,3
NKRF,1578,0,3
LOC100134368,2980,0,3
CACNA1A,2109,0,3
HEXIM1,2810,0,3
DAPK1-IT1,2215,0,3
NDUFB2,753,0,3
CAPNS1,2884,0,3
BZW1,1452,0,3
ZNF330,1708,0,3
COX3,2409,0,8
SLITRK1,2395,0,3
SLIT2,2926,0,3
HNRNPD,859,0,3
CELF1,1384,0,3
C5orf30,2446,0,3
UBXN4,2963,0,3
JAZF1,695,0,3
PHRF1,2783,0,3
VAT1,1952,0,3
CHMP4B,1601,0,3
AHCTF1,1274,0,3
LOC101927450,2945,0,3
ELK1,1562,0,3
FAM134C,2499,0,3
ENSA,2130,0,3
TMEM181,1347,0,3
CAPZA1,2773,0,3
RP11-320N7.2,2945,0,3
ZNF70,2945,0,3
PPT1,1095,0,3
EFEMP2,2913,0,3
HMGN1,2621,0,3
LOC101929087,2366,0,2
TIMP2,1249,0,3
GSAP,838,0,3
MGLL,2668,0,3
CTXN3,1836,0,3
CCT6P1,2956,0,3
PYCARD,2944,0,3
RPS5,2904,0,3
MPHOSPH10,566,0,3
HMGN3,2442,0,5
BHMT,2980,0,3
KANSL1,1860,0,3
TEX38,2945,0,3
NADK2,2899,0,3
PARM1,2952,0,3
SLC26A2,2914,0,3
THY1,1427,0,3
ZNF791,1787,0,3
GPR27,2907,0,3
LOC102724870,2782,0,2
CDCA7L,2764,0,3
WDR7,1072,0,3
TMEM222,455,0,3
DOK6,1126,0,3
RFX3,1134,0,3
AX746755,1977,0,3
CCDC6,2082,0,3
MPPED2,847,0,3
CUEDC2,608,0,3
STXBP3,1360,0,3
SERBP1,2587,0,3
KCNJ3,813,0,3
RRAGB,2944,0,3
ARL6IP1,2826,0,5
SLC1A1,996,0,3
SIPA1L1,1168,0,3
RSPO3,1382,0,3
DCX,2336,0,3
SERPINI1,2826,0,5
PC,2847,0,3
DUSP6,953,0,3
SASH1,2795,0,3
MMD,2161,0,3
GABRA2,834,0,3
C2orf74,1213,0,3
MXRA7,2036,0,3
ACTR1A,2884,0,3
ZBTB34,1274,0,3
METTL9,2870,0,3
DCTN1,1983,0,3
LINC00629,2874,0,3
SERINC3,1920,0,3
FOXO3,2763,0,3
MARCKSL1,2888,0,3
ADAM33,2297,0,3
MID2,2930,0,3
BAG3,2889,0,3
PTH2,2943,0,3
ZNF548,2943,0,3
C21orf91,2989,0,3
MOXD1,2943,0,3
DSTN,844,0,3
CST3,454,0,3
SESN1,1485,0,3
UBP1,2991,0,3
RP11-339B21.15,2930,0,3
NDUFA3,115,0,3
GPR88,897,0,3
COMMD3,1214,0,3
S100A2,2945,0,3
FHL1,253,0,3
ARL1,2830,0,3
ABHD10,1546,0,3
RILPL1,830,0,3
