node1,node2,overlap_count
0,4,35
4,15,33
15,18,30
18,26,26
26,35,24
35,50,17
50,57,15
57,102,13
102,122,9
122,148,1
122,149,7
149,175,1
149,176,6
176,224,4
224,253,1
224,254,3
254,269,2
269,282,1
269,283,1
254,270,1
176,225,1
176,226,1
122,150,1
150,218,1
102,123,1
102,124,3
124,157,3
157,212,1
212,260,1
157,213,1
157,214,1
57,103,1
57,104,1
50,58,1
50,59,1
35,51,1
51,89,1
35,52,6
52,66,6
66,77,1
66,78,1
66,79,4
79,84,1
84,156,1
79,85,1
79,86,2
86,184,1
86,185,1
26,36,1
36,80,1
80,243,1
26,37,1
18,27,1
18,28,3
28,95,3
95,154,1
95,155,2
155,202,1
155,203,1
15,19,2
19,38,2
38,127,1
127,293,1
38,128,1
15,20,1
4,16,1
16,60,1
60,94,1
94,135,1
4,17,1
0,5,1
2,6,128
6,8,126
8,21,113
21,29,1
21,30,112
30,33,14
33,42,14
42,47,6
47,90,5
90,111,4
111,133,3
133,190,1
133,191,2
191,271,1
191,272,1
111,134,1
90,112,1
47,91,1
42,48,7
48,75,7
75,87,6
87,113,2
113,151,2
151,182,1
151,183,1
87,114,4
114,131,1
114,132,3
132,158,1
132,159,2
159,186,1
159,187,1
75,88,1
42,49,1
30,34,98
34,39,1
34,40,1
34,41,96
41,44,1
41,45,1
41,46,94
46,53,3
53,65,3
65,69,1
65,70,1
65,71,1
46,54,1
54,240,1
46,55,90
55,62,1
55,63,1
55,64,88
64,72,2
72,82,1
72,83,1
83,229,1
64,73,59
73,92,4
92,99,3
99,107,1
99,108,1
99,109,1
92,100,1
73,93,55
93,97,1
93,98,54
98,117,36
117,121,36
121,125,18
125,146,17
146,164,16
164,179,4
179,206,3
206,238,1
206,239,2
239,286,1
239,287,1
179,207,1
164,180,1
164,181,11
181,204,10
204,227,2
227,261,2
261,288,1
261,289,1
289,308,1
308,326,1
204,228,8
228,258,1
228,259,7
259,275,1
259,276,5
276,296,4
296,313,3
313,322,2
322,329,1
322,330,1
313,323,1
296,314,1
276,297,1
259,277,1
146,165,1
125,147,1
121,126,18
126,144,17
144,162,1
144,163,16
163,177,1
163,178,15
178,197,1
178,198,1
178,199,13
199,215,1
199,216,11
216,234,1
216,235,10
235,249,9
249,264,3
264,292,3
292,302,3
302,315,1
302,316,2
316,324,1
316,325,1
249,265,6
265,284,5
284,300,1
284,301,4
301,317,1
301,318,3
318,335,1
318,336,1
318,337,1
265,285,1
235,250,1
199,217,1
126,145,1
98,118,18
118,119,1
118,120,17
120,140,1
120,141,16
141,161,15
161,173,1
161,174,14
174,195,13
195,200,1
195,201,12
201,210,11
210,222,1
223,236,6
236,251,1
236,252,5
252,273,1
252,274,4
274,290,3
290,303,1
290,304,2
304,331,1
304,332,1
274,291,1
223,237,4
237,262,1
237,263,3
263,280,1
263,281,2
281,309,1
281,310,1
201,211,1
174,196,1
64,74,27
74,96,27
96,105,1
105,171,1
96,106,26
106,129,1
129,219,1
106,130,25
130,138,1
130,139,24
139,152,1
139,153,23
153,166,1
153,167,22
167,188,21
188,208,1
188,209,20
209,220,14
220,230,13
230,244,11
244,266,3
266,298,1
266,299,2
299,327,1
299,328,1
244,267,7
267,278,6
278,294,1
278,295,5
295,311,1
295,312,4
312,319,2
319,333,1
319,334,1
312,320,1
312,321,1
267,279,1
244,268,1
230,245,1
220,231,1
209,221,6
221,232,1
221,233,5
233,255,1
233,256,1
233,257,3
257,305,1
257,306,1
257,307,1
167,189,1
8,22,12
22,24,11
24,31,10
31,67,1
31,68,9
68,115,2
115,136,1
115,137,1
137,172,1
68,116,7
116,142,1
116,143,6
143,168,3
168,193,1
168,194,2
194,247,1
194,248,1
143,169,1
143,170,2
170,241,1
170,242,1
24,32,1
22,25,1
25,56,1
8,23,1
6,9,1
6,10,1
10,81,1
81,110,1
2,7,3
7,11,3
11,12,1
12,43,1
43,101,1
11,13,1
13,76,1
76,192,1
11,14,1
3,61,1
