node_names,node_coords
root;0;4;15;18;26;35;50;57;102;122;148,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(11,1)"
root;0;4;15;18;26;35;50;57;102;122;149;175,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(11,2)"
root;0;4;15;18;26;35;50;57;102;122;149;176;224;253,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(9,3);(8,3)"
root;0;4;15;18;26;35;50;57;102;122;149;176;224;254;269;282,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(9,3);(9,4);(8,4);(7,4)"
root;0;4;15;18;26;35;50;57;102;122;149;176;224;254;269;283,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(9,3);(9,4);(8,4);(8,5)"
root;0;4;15;18;26;35;50;57;102;122;149;176;224;254;270,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(9,3);(9,4);(9,5)"
root;0;4;15;18;26;35;50;57;102;122;149;176;225,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(11,3)"
root;0;4;15;18;26;35;50;57;102;122;149;176;226,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,2);(10,3);(10,4)"
root;0;4;15;18;26;35;50;57;102;122;150;218,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(10,1);(10,0);(11,0)"
root;0;4;15;18;26;35;50;57;102;123,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(9,2)"
root;0;4;15;18;26;35;50;57;102;124;157;212;260,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,1);(9,0);(9,-1);(8,-1);(8,-2)"
